577,120000,NAKASONGOLA
574,1500,NAKASONGOLA
578,80000,NAKASONGOLA
576,200000,NAKASONGOLA
575,20000,NAKASONGOLA
454,800,NAKASONGOLA
453,1000,NAKASONGOLA
455,500,NAKASONGOLA
704,35000,NAKASONGOLA
703,50000,NAKASONGOLA
705,20000,NAKASONGOLA
1916,40000,NAKASONGOLA
516,50000,NAKASONGOLA
518,5000,NAKASONGOLA
517,20000,NAKASONGOLA
1755,50000,NAKASONGOLA
1757,30000,NAKASONGOLA
1760,10000,NAKASONGOLA
1763,80000,NAKASONGOLA
1761,120000,NAKASONGOLA
1766,35000,NAKASONGOLA
676,2000,NAKASONGOLA
674,4000,NAKASONGOLA
675,1000,NAKASONGOLA
451,500,NAKASONGOLA
450,700,NAKASONGOLA
452,400,NAKASONGOLA
581,120000,NAKASONGOLA
579,80000,NAKASONGOLA
580,20000,NAKASONGOLA
612,50000,NAKASONGOLA
611,40000,NAKASONGOLA
610,10000,NAKASONGOLA
709,2000,NAKASONGOLA
710,500,NAKASONGOLA
