PAP Ref, LAND RATE (PER ACRE) 
IK0228," 20,000,000 "
IK0229," 20,000,000 "
IK0230," 20,000,000 "
IK0231," 20,000,000 "
IK0232," 20,000,000 "
IK0233," 20,000,000 "
IK0234," 20,000,000 "
IK0235," 20,000,000 "
IK0236," 20,000,000 "
IK0237," 20,000,000 "
IK0238," 20,000,000 "
IK0239," 20,000,000 "
IK0240," 20,000,000 "
IK0241," 20,000,000 "
IK0242," 20,000,000 "
IK0243," 20,000,000 "
IK0244," 15,000,000 "
IK0245," 15,000,000 "
IK0246," 15,000,000 "
IK0247," 15,000,000 "
IK0248," 15,000,000 "
IK0249," 15,000,000 "
IK0250," 15,000,000 "
IK0251," 15,000,000 "
IK0252," 15,000,000 "
IK0253," 15,000,000 "
IK0254," 15,000,000 "
IK0255," 15,000,000 "
IK0256," 15,000,000 "
IK0257," 15,000,000 "
IK0258," 15,000,000 "
IK0259," 15,000,000 "
IK0260," 15,000,000 "
IK0261," 15,000,000 "
IK0262," 15,000,000 "
IK0263," 15,000,000 "
IK0264," 15,000,000 "
IK0265," 15,000,000 "
IK0266," 15,000,000 "
IK0267," 15,000,000 "
IK0268," 15,000,000 "
IK0269," 15,000,000 "
IK0270," 15,000,000 "
IK0271," 15,000,000 "
IK0272," 15,000,000 "
IK0273," 15,000,000 "
IK0274," 15,000,000 "
IK0275," 15,000,000 "
IK0276," 15,000,000 "
IK0277," 15,000,000 "
IK0278," 15,000,000 "
IK0279," 15,000,000 "
IK0280," 15,000,000 "
IK0282," 15,000,000 "
IK0283," 15,000,000 "
IK0284," 15,000,000 "
IK0285," 15,000,000 "
IK0286," 15,000,000 "
IK0287," 15,000,000 "
IK0288," 15,000,000 "
IK0289," 15,000,000 "
IK0290," 15,000,000 "
IK0291," 15,000,000 "
IK0292," 15,000,000 "
IK0293," 15,000,000 "
IK0294," 15,000,000 "
IK0295," 15,000,000 "
IK0296," 15,000,000 "
IK0297," 15,000,000 "
IK0298," 15,000,000 "
IK0299," 15,000,000 "
IK0300," 15,000,000 "
IK0301," 15,000,000 "
IK0302," 15,000,000 "
IK0303," 15,000,000 "
IK0304," 15,000,000 "
IK0305," 15,000,000 "
IK0306," 15,000,000 "
IK0307," 15,000,000 "
IK0308," 15,000,000 "
IK0309," 15,000,000 "
IK0310," 15,000,000 "
IK0311," 15,000,000 "
IK0312," 15,000,000 "
IK0313," 15,000,000 "
IK0314," 15,000,000 "
IK0315," 15,000,000 "
IK0316," 15,000,000 "
IK0317," 15,000,000 "
IK0318," 15,000,000 "
IK0319," 15,000,000 "
IK0320," 15,000,000 "
IK0321," 15,000,000 "
IK0322," 15,000,000 "
IK0323," 15,000,000 "
IK0324," 15,000,000 "
IK0325," 15,000,000 "
IK0326," 15,000,000 "
IK0327," 15,000,000 "
IK0328," 15,000,000 "
IK0329," 15,000,000 "
IK0330," 15,000,000 "
IK0331," 15,000,000 "
IK0332," 15,000,000 "
IK0333," 15,000,000 "
IK0334," 15,000,000 "
IK0335," 15,000,000 "
IK0336," 15,000,000 "
IK0337," 15,000,000 "
IK0338," 15,000,000 "
IK0340," 15,000,000 "
IK0342," 15,000,000 "
IK0343," 15,000,000 "
IK0344," 15,000,000 "
IK0345," 15,000,000 "
IK0346," 15,000,000 "
IK0347," 15,000,000 "
IK0348," 15,000,000 "
IK0349," 15,000,000 "
IK0350," 15,000,000 "
IK0352," 15,000,000 "
IK0353," 15,000,000 "
IK0354," 15,000,000 "
IK0355," 15,000,000 "
IK0356," 15,000,000 "
IK0357," 15,000,000 "
IK0358," 15,000,000 "
IK0359," 15,000,000 "
IK0360," 15,000,000 "
IK0361," 15,000,000 "
IK0362," 15,000,000 "
IK0363," 15,000,000 "
IK0364," 15,000,000 "
IK0365," 15,000,000 "
IK0366," 15,000,000 "
IK0367," 15,000,000 "
IK0368," 15,000,000 "
IK0369," 15,000,000 "
IK0370," 15,000,000 "
IK0371," 15,000,000 "
IK0372," 15,000,000 "
IK0373," 15,000,000 "
IK0374," 15,000,000 "
IK0375," 15,000,000 "
IK0376," 15,000,000 "
IK0377," 15,000,000 "
IK0378," 15,000,000 "
IK0379," 15,000,000 "
IK0380," 15,000,000 "
IK0381," 15,000,000 "
IK0382," 15,000,000 "
IK0383," 15,000,000 "
IK0384," 25,000,000 "
IK0385," 25,000,000 "
IK0386," 25,000,000 "
IK0387," 25,000,000 "
IK0388," 25,000,000 "
IK0389," 25,000,000 "
IK0390," 25,000,000 "
IK0391," 25,000,000 "
IK0392," 25,000,000 "
IK0393," 25,000,000 "
IK0394," 25,000,000 "
IK0395," 25,000,000 "
IK0396," 25,000,000 "
IK0397," 25,000,000 "
IK0398," 25,000,000 "
IK0399," 25,000,000 "
IK0400," 25,000,000 "
IK0401," 25,000,000 "
IK0402," 25,000,000 "
IK0403," 25,000,000 "
IK0404," 25,000,000 "
IK0405," 25,000,000 "
IK0406," 25,000,000 "
IK0407," 25,000,000 "
IK0408," 25,000,000 "
IK0409," 25,000,000 "
IK0410," 25,000,000 "
IK0411," 25,000,000 "
IK0412," 25,000,000 "
IK0413," 25,000,000 "
IK0414," 25,000,000 "
IK0415," 25,000,000 "
IK0416," 25,000,000 "
IK0417," 25,000,000 "
IK0418," 25,000,000 "
IK0419," 25,000,000 "
IK0420," 25,000,000 "
IK0421," 25,000,000 "
IK0422," 25,000,000 "
IK0423," 25,000,000 "
IK0424," 25,000,000 "
IK0425," 25,000,000 "
IK0426," 25,000,000 "
IK0427," 25,000,000 "
IK0428," 25,000,000 "
IK0429," 25,000,000 "
IK0430," 25,000,000 "
IK0431," 25,000,000 "
IK0432," 25,000,000 "
IK0433," 25,000,000 "
IK0434," 25,000,000 "
IK0435," 25,000,000 "
IK0436," 25,000,000 "
IK0437," 25,000,000 "
IK0438," 25,000,000 "
IK0439," 25,000,000 "
IK0440," 25,000,000 "
IK0441," 25,000,000 "
IK0442," 25,000,000 "
IK0443," 25,000,000 "
IK0444," 25,000,000 "
IK0445," 25,000,000 "
IK0446," 25,000,000 "
IK0447," 25,000,000 "
IK0448," 25,000,000 "
IK0449," 25,000,000 "
IK0450," 25,000,000 "
IK0451," 25,000,000 "
IK0452," 25,000,000 "
IK0453," 25,000,000 "
IK0454," 25,000,000 "
IK0455," 25,000,000 "
IK0456," 25,000,000 "
IK0457," 25,000,000 "
IK0458," 25,000,000 "
IK0459," 25,000,000 "
IK0460," 25,000,000 "
IK0461," 25,000,000 "
IK0462," 25,000,000 "
IK0463," 25,000,000 "
IK0464," 25,000,000 "
IK0465," 25,000,000 "
IK0466," 25,000,000 "
IK0467," 25,000,000 "
IK0468," 25,000,000 "
IK0469," 25,000,000 "
IK0470," 25,000,000 "
IK0471," 25,000,000 "
IK0472," 25,000,000 "
IK0473," 25,000,000 "
IK0474," 25,000,000 "
IK0475," 25,000,000 "
IK0476," 25,000,000 "
IK0477," 25,000,000 "
IK0478," 25,000,000 "
IK0479," 25,000,000 "
IK0480," 25,000,000 "
IK0481," 25,000,000 "
IK0482," 25,000,000 "
IK0483," 25,000,000 "
IK0484," 25,000,000 "
IK0485," 25,000,000 "
IK0486," 25,000,000 "
IK0487," 25,000,000 "
IK0488," 25,000,000 "
IK0489," 25,000,000 "
IK0490," 25,000,000 "
IK0491," 25,000,000 "
IK0492," 25,000,000 "
IK0493," 25,000,000 "
IK0494," 25,000,000 "
IK0495," 25,000,000 "
IK0496," 25,000,000 "
IK0497," 25,000,000 "
IK0498," 25,000,000 "
IK0499," 25,000,000 "
IK0500," 25,000,000 "
IK0501," 25,000,000 "
IK0502," 25,000,000 "
IK0503," 25,000,000 "
IK0504," 25,000,000 "
IK0505," 25,000,000 "
IK0506," 25,000,000 "
IK0506-1," 25,000,000 "
IK0506-2," 25,000,000 "
IK0507," 25,000,000 "
IK0508," 25,000,000 "
IK0509," 25,000,000 "
IK0510," 25,000,000 "
IK0511," 25,000,000 "
IK0512," 25,000,000 "
IK0513," 25,000,000 "
IK0514," 25,000,000 "
IK0515," 25,000,000 "
IK0516," 25,000,000 "
IK0517," 25,000,000 "
IK0518," 25,000,000 "
IK0519," 25,000,000 "
IK0520," 25,000,000 "
IK0521," 25,000,000 "
IK0522," 25,000,000 "
IK0524," 25,000,000 "
IK0525," 25,000,000 "
IK0526," 25,000,000 "
IK0527," 25,000,000 "
IK0528," 25,000,000 "
IK0529," 25,000,000 "
IK0530," 25,000,000 "
IK0531," 25,000,000 "
IK0532," 25,000,000 "
IK0533," 25,000,000 "
IK0534," 25,000,000 "
IK0535," 25,000,000 "
IK0536," 25,000,000 "
IK0537," 25,000,000 "
IK0538," 25,000,000 "
IK0539," 25,000,000 "
IK0540," 25,000,000 "
IK0541," 25,000,000 "
IK0542," 25,000,000 "
IK0543," 25,000,000 "
IK0544," 25,000,000 "
IK0545," 25,000,000 "
IK0546," 25,000,000 "
IK0547," 25,000,000 "
IK0548," 25,000,000 "
IK0549," 25,000,000 "
IK0550," 25,000,000 "
IK0551," 25,000,000 "
IK0552," 25,000,000 "
IK0553," 25,000,000 "
IK0554," 25,000,000 "
IK0555," 25,000,000 "
IK0556," 25,000,000 "
IK0557," 25,000,000 "
IK0558," 25,000,000 "
IK0559," 25,000,000 "
