IK0001, 0.0008 ,100%,800000000
IK0002, 0.0090 ,100%,800000000
IK0003, 0.0035 ,100%,40000000
IK0004, 0.0013 ,100%,40000000
IK0005, 0.0024 ,100%,40000000
IK0006, 0.0280 ,100%,40000000
IK0007, 0.0073 ,100%,40000000
IK0008, 0.0272 ,100%,40000000
IK0009, 0.0039 ,100%,40000000
IK0010, 0.0071 ,100%,40000000
IK0011, 0.0080 ,100%,40000000
IK0012, 0.0037 ,100%,40000000
IK0013, 0.0046 ,100%,40000000
IK0014, 0.0188 ,100%,40000000
IK0015, 0.0446 ,100%,40000000
IK0016, 0.0087 ,100%,40000000
IK0017, 0.0134 ,100%,40000000
IK0018, 0.0123 ,100%,40000000
IK0019, 0.0042 ,100%,40000000
IK0020, 0.0042 ,100%,40000000
IK0021, 0.0055 ,100%,40000000
IK0022, -   ,0%,40000000
IK0023, 0.0069 ,100%,40000000
IK0024, 0.0031 ,100%,40000000
IK0025, 0.0050 ,100%,40000000
IK0026, 0.0030 ,100%,40000000
IK0027, 0.0042 ,100%,40000000
IK0028, 0.0049 ,100%,40000000
IK0029, 0.0181 ,100%,40000000
IK0030, 0.0105 ,100%,40000000
IK0031, 0.0086 ,100%,40000000
IK0032, 0.0042 ,100%,40000000
IK0033, 0.0037 ,100%,40000000
IK0034, 0.0033 ,100%,40000000
IK0035, 0.0037 ,100%,40000000
IK0036, 0.0038 ,100%,40000000
IK0037, 0.0045 ,100%,40000000
IK0038, 0.0035 ,100%,40000000
IK0039, 0.0039 ,100%,40000000
IK0040, 0.0024 ,100%,40000000
IK0041, 0.0059 ,100%,40000000
IK0042, 0.0081 ,100%,40000000
IK0043, 0.0035 ,100%,40000000
IK0044, 0.0029 ,100%,40000000
IK0045, 0.0094 ,100%,40000000
IK0046, 0.0151 ,100%,40000000
IK0047, 0.0527 ,100%,24000000
IK0048, 0.0626 ,100%,24000000
IK0049, 0.0369 ,100%,24000000
IK0050, 0.0263 ,100%,24000000
IK0051, 0.0080 ,100%,24000000
IK0052, 0.0092 ,100%,24000000
IK0053, 0.0151 ,100%,24000000
IK0054, 0.0051 ,100%,24000000
IK0055, 0.0100 ,100%,24000000
IK0056, 0.0153 ,100%,24000000
IK0057, 0.0095 ,100%,24000000
IK0058, 0.0827 ,100%,24000000
IK0059, 0.0244 ,100%,24000000
IK0060, 0.0021 ,100%,24000000
IK0061, 0.0052 ,100%,24000000
IK0062, 0.0052 ,100%,24000000
IK0063, 0.0933 ,100%,24000000
IK0064, 0.0606 ,100%,24000000
IK0065, 0.0294 ,100%,24000000
IK0066, 0.0268 ,100%,24000000
IK0067, 0.0066 ,100%,24000000
IK0068, 0.0124 ,100%,24000000
IK0069, 0.0067 ,100%,24000000
IK0070, 0.0110 ,100%,24000000
IK0071, 0.0046 ,100%,24000000
IK0072, 0.0103 ,100%,24000000
IK0073, 0.0048 ,100%,24000000
IK0074, 0.0316 ,100%,24000000
IK0075, 0.0261 ,100%,24000000
IK0076, 0.0143 ,100%,24000000
IK0077, 0.0027 ,100%,24000000
IK0078, 0.0306 ,100%,24000000
IK0079, 0.0261 ,100%,24000000
IK0080, 0.0135 ,100%,24000000
IK0081, 0.0259 ,100%,40000000
IK0082, 0.0325 ,100%,40000000
IK0083, 0.0105 ,100%,40000000
IK0084, 0.0125 ,100%,40000000
IK0085, 0.0094 ,100%,40000000
IK0086, 0.0053 ,100%,40000000
IK0087, 0.0058 ,100%,40000000
IK0088, 0.0083 ,100%,40000000
IK0089, 0.0125 ,100%,40000000
IK0090, 0.0052 ,100%,40000000
IK0091, 0.0102 ,100%,40000000
IK0092, 0.0028 ,100%,40000000
IK0093, 0.0062 ,100%,40000000
IK0094, 0.0089 ,100%,40000000
IK0095, 0.0103 ,100%,40000000
IK0096, 0.0088 ,100%,40000000
IK0097, 0.0107 ,100%,40000000
IK0098, 0.0068 ,100%,40000000
IK0099, 0.0063 ,100%,40000000
IK0100, 0.0051 ,100%,40000000
IK0101, 0.0049 ,100%,40000000
IK0102, 0.0341 ,100%,40000000
IK0103, 0.0038 ,100%,40000000
IK0104, 0.0053 ,100%,40000000
IK0105, 0.0041 ,100%,40000000
IK0106, 0.0067 ,100%,40000000
IK0107, 0.0046 ,100%,40000000
IK0108, 0.0076 ,100%,40000000
IK0109, 0.0037 ,100%,40000000
IK0110, 0.0043 ,100%,40000000
IK0111, 0.0050 ,100%,40000000
IK0112, 0.0073 ,100%,40000000
IK0113, 0.0068 ,100%,40000000
