IK0186,62.8100,0.0155
IK0187,64.3300,0.0159
IK0188,39.5200,0.0098
IK0189,54.0500,0.0134
IK0190,28.6100,0.0071
IK0191,23.7900,0.0059
IK0192,91.8900,0.0227
IK0193,184.2500,0.0455
IK0194,62.0600,0.0153
IK0195,36.5900,0.0090
IK0196,30.8900,0.0076
IK0197,19.4100,0.0048
IK0198,131.9900,0.0326
IK0199,234.0900,0.0578
IK0200,37.1800,0.0092
IK0201,26.8000,0.0066
IK0202,20.4100,0.0050
IK0203,19.9100,0.0049
IK0204,23.3300,0.0058
IK0205,27.5100,0.0068
IK0206,45.8900,0.0113
IK0207,50.3200,0.0124
IK0208,34.0000,0.0084
IK0209,52.3200,0.0129
IK0210,37.8200,0.0093
IK0211,30.8200,0.0076
IK0212,346.2700,0.0856
IK0213,627.7600,0.1551
IK0214,36.3600,0.0090
IK0215,77.8700,0.0192
IK0216,19.1300,0.0047
IK0217,30.2000,0.0075
IK0218,464.0500,0.1147
IK0219,83.2300,0.0206
IK0220,19.9400,0.0049
IK0221,46.1200,0.0114
IK0222,34.2600,0.0085
IK0223,19.6400,0.0049
IK0224,22.2300,0.0055
IK0225,23.4300,0.0058
IK0226,45.4800,0.0112
IK0227,,0.0000
IK0228,35.0800,0.0087
IK0229,21.0700,0.0052
IK0230,25.1100,0.0062
IK0231,34.0000,0.0084
IK0232,124.6700,0.0308
IK0233,44.6000,0.0110
IK0234,37.2100,0.0092
IK0235,26.3700,0.0065
IK0236,25.2900,0.0062
IK0237,35.8600,0.0089
IK0238,176.7900,0.0437
IK0239,114.9200,0.0284
IK0240,139.0700,0.0344
IK0241,59.1300,0.0146
IK0242,333.1500,0.0823
IK0243,,0.0000
IK0244,51.1300,0.0126
IK0245,43.9500,0.0109
IK0246,23.1300,0.0057
IK0247,20.3400,0.0050
IK0248,104.3900,0.0258
IK0249,56.2300,0.0139
IK0250,16.7400,0.0041
IK0251,48.3900,0.0120
IK0252,32.6200,0.0081
IK0253,20.0000,0.0049
IK0254,11.3600,0.0028
IK0255,20.9600,0.0052
IK0256,32.1700,0.0079
IK0257,41.0900,0.0102
IK0258,40.5600,0.0100
IK0259,56.2100,0.0139
IK0260,14.5000,0.0036
IK0261,35.6000,0.0088
IK0262,53.5400,0.0132
IK0263,30.0900,0.0074
IK0264,29.9500,0.0074
IK0265,31.2800,0.0077
IK0266,49.2900,0.0122
IK0267,138.7700,0.0343
IK0268,,0.0000
IK0269,110.2500,0.0272
IK0270,24.8900,0.0062
IK0271,17.7500,0.0044
IK0272,24.0300,0.0059
IK0273,628.5000,0.1553
IK0274,135.5600,0.0335
IK0275,168.8500,0.0417
IK0275,153.6400,0.0380
IK0276,423.7000,0.1047
IK0277,73.5700,0.0182
IK0278,87.2500,0.0216
IK0279,52.8200,0.0131
IK0280,41.2700,0.0102
IK0281,,0.0000
IK0282,126.0600,0.0312
IK0283,55.8000,0.0138
IK0284,18.5700,0.0046
IK0285,16.2200,0.0040
IK0286,25.6500,0.0063
