MUB01,0.0790,100%,100000000
MUB02,0.1140,100%,140000000
MUB03,0.0210,100%,140000000
MUB04,0.1360,100%,140000000
MUB05,0.0520,100%,140000000
MUB06,0.0580,100%,100000000
MUB07,0.1200,100%,100000000
MUB08,0.0310,100%,80000000
MUB09,0.1920,100%,80000000
MUB10,0.0500,100%,80000000
MUB11,0.1430,100%,80000000
MUB12,0.0700,100%,70000000
MUB13,0.0700,0%,70000000
MUB14,0.0550,100%,70000000
MUB15,0.2330,100%,70000000
MUB16,0.2330,0%,70000000
MUB17,1.1630,100%,50000000
MUB18,0.8600,100%,45000000
MUB19,0.0280,0%,45000000
MUB20,0.0770,0%,45000000
MUB21,0.2090,0%,45000000
MUB22,0.1700,0%,45000000
MUB23,0.1040,0%,45000000
MUB24,0.2720,0%,45000000
MUB25,0.1140,100%,45000000
MUB26,2.0040,100%,45000000
MUB27,0.2300,0%,45000000
MUB28,0.0370,0%,45000000
MUB29,0.5280,0%,45000000
MUB30,0.4760,0%,45000000
MUB31,0.0620,0%,45000000
MUB32,0.0810,0%,45000000
MUB33,0.0710,0%,45000000
MUB34,0.5200,0%,45000000
MUB35,0.0410,100%,45000000
MUB36,0.1180,100%,45000000
MUB37,0.1180,0%,45000000
MUB38,0.0570,100%,45000000
MUB39,0.0570,0%,45000000
MUB40,1.4290,100%,45000000
MUB41,0.6100,100%,45000000
MUB42,0.6100,0%,45000000
MUB43,0.0440,100%,45000000
MUB44,0.4120,100%,45000000
MUB45,0.4120,0%,45000000
MUB46,0.0440,100%,45000000
MUB47,0.1970,100%,45000000
MUB48,0.1240,0%,45000000
MUB49,0.0310,0%,45000000
MUB50,0.0420,0%,45000000
MUB51,0.6230,100%,45000000
MUB52,0.5690,100%,45000000
MUB53,0.5690,100%,45000000
