3515,MKR001,MKR1231,MKR001,0.064,0.167,32000000,100,100
3544,MKR002,MKR1232,MKR002,0.000,0.090,32000000,100,80
3545,MKR003,MKR1233,MKR003,0.000,0.038,32000000,100,80
3546,MKR004,MKR1234,MKR004,0.107,0.401,32000000,100,100
3547,MKR005,MKR1235,MKR005,0.000,0.069,32000000,100,80
3548,MKR006,MKR1236,MKR006,0.000,0.073,32000000,100,80
3549,MKR007,MKR1237,MKR007,0.018,0.085,32000000,100,100
3550,MKR008,MKR1238,MKR008,0.000,0.017,32000000,100,80
3570,MKR009,MKR1239,MKR009,0.012,0.062,32000000,100,80
3551,MKR010,MKR1240,MKR010,0.038,0.130,32000000,100,100
7019,MKR011,MKR1241,MKR011,0.000,0.025,32000000,100,80
3553,MKR012,MKR1242,MKR012,0.001,0.045,32000000,100,80
3554,MKR013,MKR1243,MKR013,0.030,0.112,32000000,100,100
3555,MKR014,MKR1244,MKR014,0.000,0.023,32000000,100,80
3556,MKR015,MKR1245,MKR015,0.017,0.048,32000000,100,100
3557,MKR016,MKR1246,MKR016,0.041,0.129,32000000,100,100
3558,MKR017,MKR1247,MKR017,0.000,0.074,32000000,100,80
3559,MKR018,MKR1248,MKR018,0.000,0.034,32000000,100,80
3560,MKR019,MKR1249,MKR019,0.000,0.010,32000000,100,80
3561,MKR020,MKR1250,MKR020,0.036,0.120,32000000,100,80
3562,MKR021,MKR1251,MKR021,0.008,0.117,32000000,100,80
3563,MKR022,MKR1252,MKR022,0.013,0.124,32000000,100,80
3565,MKR023,MKR1253,MKR023,0.062,0.172,32000000,100,100
3575,MKR024,MKR1254,MKR024,0.000,0.059,32000000,100,80
3566,MKR025,MKR1255,MKR025,0.033,0.171,32000000,100,80
3576,MKR026,MKR1256,MKR026,0.000,0.056,32000000,100,80
3577,MKR027,MKR1257,MKR027,0.067,0.271,32000000,100,80
3578,MKR028,MKR1258,MKR028,0.016,0.147,32000000,100,80
3579,MKR029,MKR1259,MKR029,0.057,0.229,32000000,100,80
3580,MKR030,MKR1260,MKR030,0.027,0.120,32000000,100,80
3581,MKR031,MKR1261,MKR031,0.000,0.011,32000000,100,80
3583,MKR032,MKR1262,MKR032,0.037,0.185,32000000,100,80
3585,MKR033,MKR1263,MKR033,0.049,0.245,32000000,100,80
3586,MKR034,MKR1264,MKR034,0.020,0.101,32000000,100,80
