pap_ref,total_take,rate_per_acre,land_interest,tenure
NGE0153,0.3087,3000000,100,Customary
NGE0154,0.0077,3000000,100,Customary
NGE0155,0.6499,3000000,100,Customary
NGE0156,0.7972,3000000,100,Customary
NGE0157,0.4319,3000000,100,Customary
NGE0158,0.456,3000000,100,Customary
NGE0159,0.3128,3000000,100,Customary
NGE0160,0.6755,3000000,100,Customary
NGE0161,0.7198,3000000,100,Customary
NGE0162,2.2136,3000000,100,Customary
NGE0163,0.1806,3000000,100,Customary
NGE0164,0.9225,3000000,100,Customary
NGE0165,0.4906,3000000,100,Customary
NGE0166,0.6007,3000000,100,Customary
NGE0167,0.6053,3000000,100,Customary
NGE0168,2.0845,3000000,100,Customary
NGE0169,0.0612,3000000,100,Customary
NGE0170,0.0523,3000000,100,Customary
NGE0171,0.4379,3000000,100,Customary
NGE0172,0.1932,3000000,100,Customary
NGE0173,0.2017,3000000,100,Customary
NGE0174,0.6732,3000000,100,Customary
NGE0175,0.218,3000000,100,Customary
NGE0176,0.0746,3000000,100,Customary
NGE0177,0.0432,3000000,100,Customary
NGE0178,0.0841,3000000,100,Customary
NGE0179,0.1054,3000000,100,Customary
NGE0180,0.0687,3000000,100,Customary
NGE0181,0.1251,3000000,100,Customary
NGE0182,0.4,3000000,100,Customary
NGE0183,0.3971,3000000,100,Customary
NGE0184,0.3272,3000000,100,Customary
NGE0185,0.1032,3000000,100,Customary
NGE0186,0.1657,3000000,100,Customary
NGE0187,0.5196,3000000,100,Customary
NGE0188,0.3525,3000000,100,Customary
NGE0189,0.2452,3000000,100,Customary
NGE0190,0.1448,3000000,100,Customary
NGE0191,0.1121,3000000,100,Customary
NGE0192,0.3088,3000000,100,Customary
NGE0193,0.1096,3000000,100,Customary
NGE0194,0.0476,3000000,100,Customary
NGE0195,0.158,3000000,100,Customary
NGE0196,0.0029,3000000,100,Customary
NGE0197,0.0705,3000000,100,Customary
NGE0198,0.551,3000000,100,Customary
NGE0199,0.209,3000000,100,Customary
NGE0200,0.1318,3000000,100,Customary
NGE0201,0.2461,3000000,100,Customary
NGE0202,0.2336,3000000,100,Customary
NGE0203,0.1616,3000000,100,Customary
NGE0204,0.3558,3000000,100,Customary
NGE0205,0.38,3000000,100,Customary
NGE0206,0.178,3000000,100,Customary
NGE0207,0.1092,3000000,100,Customary
NGE0208,0.7134,3000000,100,Customary
NGE0209,0.2368,3000000,100,Customary
NGE0210,0.1723,3000000,100,Customary
NGE0211,0.4833,3000000,100,Customary
NGE0212,0.0579,3000000,100,Customary
NGE0213,0.1347,3000000,100,Customary
NGE0214,0.2769,3000000,100,Customary
NGE0215,0.0549,3000000,100,Customary
NGE0216,0.1762,3000000,100,Customary
NGE0217,0.1575,3000000,100,Customary
NGE0218,0.1637,3000000,100,Customary
NGE0219,0.0571,3000000,100,Customary
NGE0220,0.0046,3000000,100,Customary
NGE0221,0.1432,3000000,100,Customary
NGE0222,0.3281,3000000,90,Customary
NGE0223,0.3281,3000000,10,TENANT
NGE0224,0.0109,3000000,100,Customary
NGE0225,0.0041,3000000,100,Customary
NGE0226,0.1855,3000000,100,Customary
NGE0227,0.0325,3000000,100,Customary
NGE0228,0.06,3000000,100,Customary
NGE0229,0.2068,3000000,100,Customary
NGE0230,0.1498,3000000,100,Customary
NGE0231,0.0854,3000000,100,Customary
NGE0232,0.0082,3000000,100,Customary
NGE0233,0.1981,3000000,100,Customary
NGE0234,0.1145,3000000,100,Customary
NGE0235,0.2757,3000000,100,Customary
NGE0236,0.1877,3000000,100,Customary
NGE0237,0.493,3000000,100,Customary
NGE0238,0.0754,3000000,100,Customary
NGE0239,0.1754,3000000,100,Customary
NGE0240,0.043,3000000,100,Customary
NGE0241,0.042,3000000,100,Customary
NGE0242,0.1294,3000000,100,Customary
NGE0243,0.1587,3000000,100,Customary
NGE0244,0.1489,3000000,100,Customary
NGE0245,0.2973,3000000,100,Customary
